name	class_name	signature	hover
get_customized_files_count	EditorExportPreset	get_customized_files_count() -> int	Returns the number of files selected in the "Resources" tab of the export dialog.
get_cutoff	AudioEffectFilter	get_cutoff() -> float	Adds a filter to the audio bus.
get_damping	AudioEffectReverb	get_damping() -> float	Adds a reverberation audio effect to an Audio bus.
get_damping	DampedSpringJoint2D	get_damping() -> float	A physics joint that connects two 2D physics bodies with a spring-like force.
get_damping	SkeletonModification2DJiggle	get_damping() -> float	A modification that jiggles [Bone2D] nodes as they move towards a target.
get_damping_coefficient	SoftBody3D	get_damping_coefficient() -> float	A deformable 3D physics mesh.
get_damping_compression	VehicleWheel3D	get_damping_compression() -> float	A 3D physics body for a [VehicleBody3D] that simulates the behavior of a wheel.
get_damping_curve	BoneTwistDisperser3D	get_damping_curve(index: int) -> Curve	Returns the damping curve when [method get_disperse_mode] is [constant DISPERSE_MODE_CUSTOM].
get_damping_relaxation	VehicleWheel3D	get_damping_relaxation() -> float	A 3D physics body for a [VehicleBody3D] that simulates the behavior of a wheel.
get_data	AudioStreamMP3	get_data() -> PackedByteArray	MP3 audio stream driver.
get_data	AudioStreamWAV	get_data() -> PackedByteArray	Stores audio data loaded from WAV files.
get_data	FontFile	get_data() -> PackedByteArray	Holds font source data and prerendered glyph cache, imported from a dynamic or a bitmap font.
get_data	Image	get_data() -> PackedByteArray	Returns a copy of the image's raw data.
get_data	JSON	get_data() -> Variant	Helper class for creating and parsing JSON data.
get_data	StreamPeer	get_data(bytes: int) -> Array	Returns a chunk data with the received bytes, as an [Array] containing two elements: an [enum Error] constant and a [PackedByteArray]. [param bytes] is the number of bytes to be received. If not enough bytes are available, the function will block until the desired amount is received.
get_data	Texture3D	get_data() -> typedarray::Image	Returns the [Texture3D]'s data as an array of [Image]s. Each [Image] represents a [i]slice[/i] of the [Texture3D], with different slices mapping to different depth (Z axis) levels.
get_data_array	StreamPeerBuffer	get_data_array() -> PackedByteArray	A stream peer used to handle binary data streams.
get_data_cells	VoxelGIData	get_data_cells() -> PackedByteArray	
get_data_dir	EditorPaths	get_data_dir() -> String	Returns the absolute path to the user's data folder. This folder should be used for [i]persistent[/i] user data files such as installed export templates. [b]Default paths per platform:[/b] [codeblock lang=text] - Windows: %APPDATA%\\Godot\\ (same as `get_config_dir()`) - macOS: ~/Library/Application Support/Godot/ (same as `get_config_dir()`) - Linux: ~/.local/share/godot/ [/codeblock]
get_data_dir	OS	get_data_dir() -> String	Returns the [i]global[/i] user data directory according to the operating system's standards. On the Linux/BSD platform, this path can be overridden by setting the [code]XDG_DATA_HOME[/code] environment variable before starting the project. See [url=$DOCS_URL/tutorials/io/data_paths.html]File paths in Godot projects[/url] in the documentation for more information. See also [method get_cache_dir] and [method get_config_dir]. Not to be confused with [method get_user_data_dir], which returns the [i]project-specific[/i] user data path.
get_data_size	Image	get_data_size() -> int	Returns size (in bytes) of the image's raw data.
get_datatype	CameraFeed	get_datatype() -> enum::CameraFeed.FeedDataType	Returns feed image data type.
get_date_dict_from_system	Time	get_date_dict_from_system(utc: bool = false) -> Dictionary	Returns the current date as a dictionary of keys: [code]year[/code], [code]month[/code], [code]day[/code], and [code]weekday[/code]. The returned values are in the system's local time when [param utc] is [code]false[/code], otherwise they are in UTC.
get_date_dict_from_unix_time	Time	get_date_dict_from_unix_time(unix_time_val: int) -> Dictionary	Converts the given Unix timestamp to a dictionary of keys: [code]year[/code], [code]month[/code], [code]day[/code], and [code]weekday[/code].
get_date_string_from_system	Time	get_date_string_from_system(utc: bool = false) -> String	Returns the current date as an ISO 8601 date string (YYYY-MM-DD). The returned values are in the system's local time when [param utc] is [code]false[/code], otherwise they are in UTC.
get_date_string_from_unix_time	Time	get_date_string_from_unix_time(unix_time_val: int) -> String	Converts the given Unix timestamp to an ISO 8601 date string (YYYY-MM-DD).
get_datetime_dict_from_datetime_string	Time	get_datetime_dict_from_datetime_string(datetime: String, weekday: bool) -> Dictionary	Converts the given ISO 8601 date and time string (YYYY-MM-DDTHH:MM:SS) to a dictionary of keys: [code]year[/code], [code]month[/code], [code]day[/code], [code skip-lint]weekday[/code], [code]hour[/code], [code]minute[/code], and [code]second[/code]. If [param weekday] is [code]false[/code], then the [code skip-lint]weekday[/code] entry is excluded (the calculation is relatively expensive). [b]Note:[/b] Any decimal fraction in the time string will be ignored silently.
get_datetime_dict_from_system	Time	get_datetime_dict_from_system(utc: bool = false) -> Dictionary	Returns the current date as a dictionary of keys: [code]year[/code], [code]month[/code], [code]day[/code], [code]weekday[/code], [code]hour[/code], [code]minute[/code], [code]second[/code], and [code]dst[/code] (Daylight Savings Time).
get_datetime_dict_from_unix_time	Time	get_datetime_dict_from_unix_time(unix_time_val: int) -> Dictionary	Converts the given Unix timestamp to a dictionary of keys: [code]year[/code], [code]month[/code], [code]day[/code], [code]weekday[/code], [code]hour[/code], [code]minute[/code], and [code]second[/code]. The returned Dictionary's values will be the same as the [method get_datetime_dict_from_system] if the Unix timestamp is the current time, with the exception of Daylight Savings Time as it cannot be determined from the epoch.
